2025-03-05 08:02:23,241 INFO    Thread-337 (_run_job):17576 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-05 08:02:23,242 INFO    Thread-337 (_run_job):17576 [wandb_setup.py:_flush():67] Configure stats pid to 17576
2025-03-05 08:02:23,242 INFO    Thread-337 (_run_job):17576 [wandb_setup.py:_flush():67] Loading settings from C:\Users\pcdpm\.config\wandb\settings
2025-03-05 08:02:23,242 INFO    Thread-337 (_run_job):17576 [wandb_setup.py:_flush():67] Loading settings from d:\DISK S\IITM\Sem-8\DL\Assignment\tutorial-1\code\wandb\settings
2025-03-05 08:02:23,242 INFO    Thread-337 (_run_job):17576 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-05 08:02:23,242 INFO    Thread-337 (_run_job):17576 [wandb_init.py:setup_run_log_directory():647] Logging user logs to d:\DISK S\IITM\Sem-8\DL\Assignment\tutorial-1\code\wandb\run-20250305_080223-e2c2pbhm\logs\debug.log
2025-03-05 08:02:23,242 INFO    Thread-337 (_run_job):17576 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to d:\DISK S\IITM\Sem-8\DL\Assignment\tutorial-1\code\wandb\run-20250305_080223-e2c2pbhm\logs\debug-internal.log
2025-03-05 08:02:23,243 INFO    Thread-337 (_run_job):17576 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001CE35F0CCA0>
2025-03-05 08:02:23,243 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():761] calling init triggers
2025-03-05 08:02:23,243 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation_fn': 'tanh', 'batch_size': 16, 'epochs': 5, 'hidden_size': 128, 'lr': 0.001, 'n_hidden': 5, 'optimizer': 'sgd', 'weight_decay': 0, 'weight_initialization': 'random'}
config: {'_wandb': {}}
2025-03-05 08:02:23,243 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():784] starting backend
2025-03-05 08:02:23,243 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():788] sending inform_init request
2025-03-05 08:02:23,246 INFO    Thread-337 (_run_job):17576 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-05 08:02:23,247 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():803] backend started and connected
2025-03-05 08:02:23,256 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_config_callback():1261] config_cb None None {'activation_fn': 'tanh', 'batch_size': 16, 'epochs': 5, 'hidden_size': 128, 'lr': 0.001, 'n_hidden': 5, 'optimizer': 'sgd', 'weight_decay': 0, 'weight_initialization': 'random'}
2025-03-05 08:02:23,257 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-05 08:02:23,257 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-05 08:02:23,257 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():896] updated telemetry
2025-03-05 08:02:23,262 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-05 08:02:23,842 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():995] starting run threads in backend
2025-03-05 08:02:24,144 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_console_start():2377] atexit reg
2025-03-05 08:02:24,145 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-05 08:02:24,145 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-05 08:02:24,145 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-05 08:02:24,146 INFO    Thread-337 (_run_job):17576 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-05 08:02:57,098 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_finish():2112] finishing run shivasurya-iit-madras/DA6401-fashion-mnist-assig-1/e2c2pbhm
2025-03-05 08:02:57,099 INFO    Thread-337 (_run_job):17576 [jupyter.py:save_history():458] not saving jupyter history
2025-03-05 08:02:57,099 INFO    Thread-337 (_run_job):17576 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-05 08:02:57,099 INFO    Thread-337 (_run_job):17576 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-05 08:02:57,099 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-05 08:02:57,099 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_restore():2324] restore
2025-03-05 08:02:57,099 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_restore():2330] restore done
2025-03-05 08:02:59,591 INFO    MsgRouterThr:17576 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-05 08:02:59,591 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-05 08:02:59,591 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-05 08:02:59,592 INFO    Thread-337 (_run_job):17576 [wandb_run.py:_footer_sync_info():3919] logging synced files
